actor,movie_or_TV_name
Tessyo Genda,Ayakashi Triangle
Tessyo Genda,The Magical Revolution of the Reincarnated Princess and the Genius Young Lady
Tessyo Genda,Urusei Yatsura
Atsuko Tanaka,Queen's Blade
Atsuko Tanaka,The Hill Dyed Rose Madder
Atsuko Tanaka,Ghost in the Shell 2.0
Atsuko Tanaka,The Daughter of Twenty Faces
Atsuko Tanaka,Amatsuki
Yuji Ueda,Hataraki Man
Yuji Ueda,Ghost Slayers Ayashi
Yuji Ueda,D.Gray-man
Maaya Sakamoto,To the Abandoned Sacred Beasts
Maaya Sakamoto,Carole & Tuesday
Maaya Sakamoto,Demon Slayer: Kimetsu no Yaiba
Maaya Sakamoto,Fruits Basket
Maaya Sakamoto,Is It Wrong to Try to Pick Up Girls in a Dungeon?: Arrow of the Orion
Takashi Matsuyama,Don's Road 8
Takashi Matsuyama,Don's Road 7
Takashi Matsuyama,Bakumatsu Gijinden Roman
Takashi Matsuyama,Don's Road 6
Takashi Matsuyama,Wandering Warriors
Takashi Matsuyama,Hunter x Hunter
Takashi Matsuyama,Nintama Rantarou Movie: Ninjutsu Gakuen Zenin Shutsudou! no Dan
Takashi Matsuyama,Mazinkaiser SKL
Takashi Matsuyama,HeartCatch PreCure!
Mitsuru Miyamoto,Blade of the Phantom Master
Mitsuru Miyamoto,Monster
Mitsuru Miyamoto,The Melody of Oblivion
Mitsuru Miyamoto,The Cosmopolitan Prayers
Mitsuru Miyamoto,Kochira Katsushikaku Kameari Kouenmae Hashutsujo The Movie 2: UFO Shuurai! Tornado Daisakusen
Mitsuru Miyamoto,Gunslinger Girl
Mitsuru Miyamoto,RahXephon: Pluralitas Concentio
Shinji Ogawa,Dragon Ball Z Side Story: Plan to Eradicate the Saiyans
Shinji Ogawa,Giant Robo: The Day the Earth Stood Still
Shinji Ogawa,Giant Robo: The Day the Earth Stood Still
Shinji Ogawa,"Run, Melos!"
Shinji Ogawa,Ninja Gaiden
Shinji Ogawa,Roujin Z
Shinji Ogawa,The Enemy's the Pirates!: The Cats' Banquet
Shigeru Chiba,"One Piece ""3D2Y"": Overcome Ace's Death! Luffy's Vow to his Friends"
Shigeru Chiba,Zyuden Sentai Kyoryuger Final Live Tour 2014
Shigeru Chiba,Heisei Rider vs. Showa Rider: Kamen Rider Wars feat. Super Sentai
Shigeru Chiba,The Next Generation: Patlabor
Shigeru Chiba,Zyuden Sentai Kyoryuger vs. Go-Busters: The Great Dinosaur War
Shigeru Chiba,Lupin the Third: Princess of the Breeze
Shigeru Chiba,声優戦隊ボイストーム7
Shigeru Chiba,Director's Cut Edition Zyuden Sentai Kyoryuger BRAVE PRELUDE
Hiroshi Yanaka,SHIROBAKO
Hiroshi Yanaka,Terra Formars
Hiroshi Yanaka,Terra Formars: Bugs-2 2599
Hiroshi Yanaka,Lupin the Third: Jigen's Gravestone
Hiroshi Yanaka,Tamako Love Story
Hiroshi Yanaka,Nobunaga the Fool
Hiroshi Yanaka,Gatchaman Crowds
Hiroshi Yanaka,Free!
Hiroshi Yanaka,Attack on Titan
Koichi Yamadera,Arknights
Koichi Yamadera,Go! Anpanman: Dolorin and the Baquel Carnival
Koichi Yamadera,Dragon Ball Super: Super Hero
Koichi Yamadera,A Girl Meets a Boy and a Robot
Kazuhiro Yamaji,Fudanshi Bartender no Tashinami
Kazuhiro Yamaji,SPY x FAMILY
Kazuhiro Yamaji,Space Camper Chicchi
