actor,movie_or_TV_name
Koichi Yamadera,Super Zugan
Koichi Yamadera,OZ
Koichi Yamadera,OZ
Koichi Yamadera,Ranma ½: The Movie 2 — The Battle of Togenkyo: Rescue the Brides!
Koichi Yamadera,"Run, Melos!"
Koichi Yamadera,Go! Anpanman: The Secret of Tsumiki Castle
Koichi Yamadera,Go! Anpanman: Anpanman and His Pleasant Friends
Koichi Yamadera,Moonlight Pierce
Koichi Yamadera,Ranma ½: The Movie — The Battle of Nekonron: The Fight to Break the Rules!
Koichi Yamadera,Detonator Orgun
Koichi Yamadera,Detonator Orgun
Koichi Yamadera,Mermaid Forest
Koichi Yamadera,Go! Anpanman: Dokin-chan's Doki Doki Calendar
Koichi Yamadera,Nadia: The Secret of Blue Water - Nautilus Story I
Koichi Yamadera,Nadia: The Secret of Blue Water - Nautilus Story III
Koichi Yamadera,Baku Yumemakura's Twilight Theatre
Koichi Yamadera,Ariel Deluxe
Koichi Yamadera,"I am Devilman, the Devil!"
Koichi Yamadera,Sonic Soldier Borgman: Lover's Rain
Koichi Yamadera,TOKYO CITY Mercen 3 Champ/SHOUT
Koichi Yamadera,Hakkenden: Legend of the Dog Warriors
Koichi Yamadera,TOKYO CITY Melhen 2
Koichi Yamadera,Nineteen 19
Koichi Yamadera,Go! Anpanman: Baikinman's Counterattack
Koichi Yamadera,Go! Anpanman: Omusubiman
Koichi Yamadera,Lightning Trap: Leina & Laika
Koichi Yamadera,Goddamn
Koichi Yamadera,Goddamn
Koichi Yamadera,Nadia: The Secret of Blue Water
Koichi Yamadera,MAROKO
Koichi Yamadera,Samurai Pizza Cats
Koichi Yamadera,Assemble Insert
Koichi Yamadera,Go! Anpanman: The Shining Star's Tear
Koichi Yamadera,Bucchigiri
Koichi Yamadera,Megazone 23 Part III
Koichi Yamadera,Megazone 23 III - Part 1 - The Awakening of Eve
Koichi Yamadera,Gosenzo-sama Banbanzai!
Koichi Yamadera,Kiki's Delivery Service
Koichi Yamadera,ARIEL: All Round Intercept & Escort Lady
Koichi Yamadera,Ranma ½
Koichi Yamadera,Madö King Granzört
Koichi Yamadera,Urotsukidōji: Legend of the Overfiend
Koichi Yamadera,Venus Wars
Koichi Yamadera,Utsunomiko
Koichi Yamadera,Goku: Midnight Eye
Koichi Yamadera,The Adventures of Peter Pan
Koichi Yamadera,Expunged Chronicle of Miroku
Koichi Yamadera,Armor Hunter Mellowlink
Koichi Yamadera,Oishinbo
Koichi Yamadera,Kimagure Orange Road: I Want to Return to That Day
Koichi Yamadera,Go! Anpanman
Koichi Yamadera,Ten Little Gall Force
Koichi Yamadera,Sonic Soldier Borgman
Koichi Yamadera,The Burning Wild Man
Koichi Yamadera,Mobile Suit Gundam: Char's Counterattack
Koichi Yamadera,Mami the Psychic: Dancing Dolls in a Starry Sky
Koichi Yamadera,Lupin the Third: The Fuma Conspiracy
Koichi Yamadera,Zillion
Koichi Yamadera,Bubblegum Crisis
Koichi Yamadera,Bosco Adventure
Koichi Yamadera,Megazone 23
Koichi Yamadera,Megazone 23
Koichi Yamadera,Lupin the Third
Koichi Yamadera,Kamen Rider
